window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window_tau0,tau0_supported,support_rule
T1,P_main_band_share,V_pos_centroid_lat,P,V,False,0,,False,-0.012364508906623013,0.8721070062532489,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9584066948948808,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,V_NS_diff,P,V,False,0,,False,0.051519145483977985,0.5008434219537887,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8356015436460197,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_strength,P,H,False,0,,False,0.14287450928476106,0.060761182857618536,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_centroid_lat,P,H,False,0,,False,0.05955772733900902,0.4350077199744436,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_west_extent_lon,P,H,False,0,,False,-0.01180393440391568,0.8775022336375207,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9584066948948808,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_zonal_width,P,H,False,0,,False,-0.06010175107341588,0.430816769774792,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_strength,P,Je,False,0,,False,0.030361383101914108,0.6908519331324565,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8796814668949166,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_axis_lat,P,Je,False,0,,False,0.10180096922545774,0.18261689641728726,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_meridional_width,P,Je,False,0,,False,0.06733645742417152,0.3745612044901162,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_strength,P,Jw,False,0,,False,0.0023621715306039945,0.9753216669183878,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9934613230281912,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_axis_lat,P,Jw,False,0,,False,-0.09159335177935618,0.22665985826680696,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7272003786060056,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_meridional_width,P,Jw,False,0,,False,-0.04624209753182845,0.5410809041797588,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8371063780827173,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_strength,P,V,False,0,,False,-0.11050644817859392,0.1501870838671665,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_pos_centroid_lat,P,V,False,0,,False,-0.071884004193568,0.3501387979924294,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_NS_diff,P,V,False,0,,False,-0.014504707503869296,0.8502101651014755,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9512655988317023,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_strength,P,H,False,0,,False,-0.1929544069351887,0.7213478971021626,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8887006092298643,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_centroid_lat,P,H,False,0,,False,-0.1924883105976386,0.9275488460995353,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9783734404063592,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_west_extent_lon,P,H,False,0,,False,0.01820376931997947,0.8126420674749159,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9381906923367169,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_zonal_width,P,H,False,0,,False,0.004015235803834959,0.9581864480644388,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9934613230281912,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_strength,P,Je,False,0,,False,-0.009608800540708253,0.9001509168307379,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9693932950484869,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_axis_lat,P,Je,False,0,,False,-0.25888831182437944,0.6848716549034615,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8796814668949166,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_meridional_width,P,Je,False,0,,False,-0.03965253652167977,0.6023670891620525,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8698428613552204,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Jw_strength,P,Jw,False,0,,False,-0.08196190105333345,0.2837065712572034,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Jw_axis_lat,P,Jw,False,0,,False,0.007286337422201684,0.923759091116469,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9783734404063592,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Jw_meridional_width,P,Jw,False,0,,False,-0.046089699956270866,0.5435755701835826,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8371063780827173,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,V_strength,P,V,False,0,,False,0.15196701638377122,0.6409012034457872,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8734405781473559,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,V_pos_centroid_lat,P,V,False,0,,False,0.03420533721741001,0.6569398503891885,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8796814668949166,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,V_NS_diff,P,V,False,0,,False,-0.017218789029971072,0.8226077072544409,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9381906923367169,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,H_strength,P,H,False,0,,False,0.14865065547425726,0.05095268525753675,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,H_centroid_lat,P,H,False,0,,False,0.11466102180763126,0.13192492379819082,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,H_west_extent_lon,P,H,False,0,,False,-0.016941124483395055,0.8249163181839669,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9381906923367169,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,H_zonal_width,P,H,False,0,,False,-0.031010436310795662,0.6845919125329586,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8796814668949166,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,Je_strength,P,Je,False,0,,False,0.025059437242323446,0.7427410470501686,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9006466239820943,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,Je_axis_lat,P,Je,False,0,,False,0.1195073522892317,0.11840653871819558,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,Je_meridional_width,P,Je,False,0,,False,0.10355755547816692,0.1713944175689124,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,Jw_strength,P,Jw,False,0,,False,0.06114860309914262,0.4228178902179258,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,Jw_axis_lat,P,Jw,False,0,,False,-0.06178956890840655,0.4152617972644289,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,Jw_meridional_width,P,Jw,False,0,,False,-0.002594917331880355,0.9726550028452643,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9934613230281912,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,V_strength,P,V,False,0,,False,-0.016585733664125017,0.828532039985672,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9381906923367169,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,V_pos_centroid_lat,P,V,False,0,<--,True,0.18310574161580148,0.016522755327296162,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,V_NS_diff,P,V,False,0,,False,0.12942925207228145,0.08966248714398896,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.63826833317675,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,H_strength,P,H,False,0,,False,0.04997918557580233,0.5125138936477707,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8356015436460197,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,H_centroid_lat,P,H,False,0,,False,0.10153839964101477,0.17994355533382783,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,H_west_extent_lon,P,H,False,0,,False,0.001239636864346993,0.9870476485360444,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9934613230281912,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,H_zonal_width,P,H,False,0,,False,0.07195786372736412,0.34398608343673254,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Je_strength,P,Je,False,0,,False,-0.05320419947270421,0.48437895740638826,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8356015436460197,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Je_axis_lat,P,Je,False,0,,False,0.12664938914183202,0.09585464947976653,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6418093921688716,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Je_meridional_width,P,Je,False,0,,False,-0.000825163561256323,0.9913029857064147,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9934613230281912,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Jw_strength,P,Jw,False,0,,False,0.12808290299520836,0.09118119045382143,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.63826833317675,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Jw_axis_lat,P,Jw,False,0,,False,0.13240870943693636,0.07894409247633999,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,Jw_meridional_width,P,Jw,False,0,,False,-0.0006186075255685472,0.9934613230281911,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9934613230281912,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,V_strength,P,V,False,0,,False,0.14401921221302555,0.05796704133031459,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,V_pos_centroid_lat,P,V,False,0,,False,0.12227144964523379,0.11112364647502955,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,V_NS_diff,P,V,False,0,,False,0.14324278973754512,0.06009262301938926,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,H_strength,P,H,False,0,,False,0.061598297066790264,0.4194084782265746,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,H_centroid_lat,P,H,False,0,,False,0.07903126781722354,0.2971201165009697,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,H_west_extent_lon,P,H,False,0,,False,-0.11190344354083628,0.14153744875515012,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,H_zonal_width,P,H,False,0,,False,0.06813521548738369,0.3702920441082795,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Je_strength,P,Je,False,0,,False,-0.08618420018165743,0.256773283128315,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7604439538800098,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Je_axis_lat,P,Je,False,0,,False,0.12312164019722346,0.10453469864621252,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Je_meridional_width,P,Je,False,0,,False,-0.13936471507345569,0.0643093944761818,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Jw_strength,P,Jw,False,0,,False,0.14524757886905557,0.0558388871143275,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Jw_axis_lat,P,Jw,False,0,,False,0.1350633345614511,0.07307028451324477,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Jw_meridional_width,P,Jw,False,0,,False,-0.014040664801383381,0.8524328093426942,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9512655988317023,False,tau0_graph_selected_and_window_BH_q_le_alpha
